ID,Date,Element,Data_Value
SPE00120512,2010-02-04,TMAX,195
SPE00120512,2013-06-03,TMAX,333
SPE00120512,2007-02-25,TMAX,180
SPE00120512,2007-02-25,TMIN,83
SPE00120512,2008-04-14,TMAX,217
SPE00120512,2008-03-07,TMAX,237
SPE00120512,2014-06-23,TMAX,277
SPE00120512,2013-07-20,TMAX,324
SPE00120512,2008-11-01,TMIN,90
SPE00120512,2012-07-01,TMAX,334
SPE00120512,2011-11-29,TMIN,62
SPE00120512,2005-01-27,TMIN,-15
SPE00120512,2011-10-24,TMAX,242
SPE00120512,2008-08-05,TMAX,386
SPE00120512,2007-05-01,TMAX,228
SPE00120512,2008-10-03,TMAX,260
SPE00120512,2012-04-18,TMIN,114
SPE00120512,2012-04-18,TMAX,215
SPE00120512,2012-10-06,TMIN,194
SPE00120512,2013-11-11,TMAX,257
SPE00120512,2013-11-11,TMIN,112
SPE00120512,2012-05-31,TMIN,223
SPE00120512,2007-01-03,TMIN,59
SPE00120512,2011-11-29,TMAX,193
SPE00120512,2007-05-01,TMIN,108
SPE00120512,2007-11-02,TMAX,245
SPE00120512,2011-12-28,TMAX,177
SPE00120512,2009-08-05,TMIN,235
SPE00120512,2015-10-29,TMAX,234
SPE00120512,2012-07-01,TMIN,172
SPE00120512,2011-04-19,TMIN,132
SPE00120512,2007-04-27,TMAX,254
SPE00120512,2006-08-03,TMAX,335
SPE00120512,2006-04-22,TMIN,104
SPE00120512,2011-11-15,TMAX,197
SPE00120512,2006-04-22,TMAX,200
SPE00120512,2006-10-23,TMAX,230
SPE00120512,2011-11-15,TMIN,104
SPE00120512,2007-04-27,TMIN,128
SPE00120512,2008-05-29,TMIN,144
SPE00120512,2012-10-27,TMAX,220
SPE00120512,2005-01-27,TMAX,87
SPE00120512,2012-10-06,TMAX,279
SPE00120512,2005-05-27,TMIN,178
SPE00120512,2008-05-03,TMAX,294
SPE00120512,2013-08-28,TMIN,199
SPE00120512,2014-10-10,TMAX,241
SPE00120512,2010-04-20,TMAX,270
SPE00120512,2013-02-19,TMIN,95
SPE00120512,2008-02-02,TMAX,175
SPE00120512,2006-10-06,TMAX,290
SPE00120512,2007-04-23,TMAX,293
SPE00120512,2007-04-23,TMIN,144
SPE00120512,2011-04-01,TMIN,150
SPE00120512,2005-07-22,TMIN,197
SPE00120512,2012-02-26,TMIN,79
SPE00120512,2012-04-28,TMAX,186
SPE00120512,2009-10-14,TMIN,180
SPE00120512,2011-09-10,TMIN,200
SPE00120512,2010-11-19,TMIN,86
SPE00120512,2011-04-01,TMAX,311
SPE00120512,2006-05-14,TMAX,314
SPE00120512,2014-12-19,TMAX,170
SPE00120512,2006-05-14,TMIN,176
SPE00120512,2007-02-23,TMAX,215
SPE00120512,2009-10-14,TMAX,310
SPE00120512,2008-02-18,TMIN,124
SPE00120512,2012-06-30,TMIN,186
SPE00120512,2005-07-22,TMAX,341
SPE00120512,2007-11-02,TMIN,116
SPE00120512,2006-10-06,TMIN,148
SPE00120512,2013-08-28,TMAX,334
SPE00120512,2007-11-20,TMIN,164
SPE00120512,2010-03-04,TMAX,182
SPE00120512,2011-11-16,TMIN,92
SPE00120512,2008-02-01,TMIN,80
SPE00120512,2014-08-09,TMIN,207
SPE00120512,2014-08-17,TMIN,235
SPE00120512,2010-05-05,TMIN,98
SPE00120512,2005-05-12,TMAX,257
SPE00120512,2010-03-17,TMAX,242
SPE00120512,2014-08-17,TMAX,376
SPE00120512,2010-10-08,TMIN,157
SPE00120512,2007-06-08,TMAX,304
SPE00120512,2013-08-26,TMAX,293
SPE00120512,2012-02-09,TMAX,136
SPE00120512,2012-02-09,TMIN,-4
SPE00120512,2011-11-16,TMAX,187
SPE00120512,2012-02-26,TMAX,211
SPE00120512,2007-11-05,TMAX,275
SPE00120512,2015-03-19,TMIN,98
SPE00120512,2005-06-03,TMAX,355
SPE00120512,2015-11-26,TMIN,55
SPE00120512,2007-11-20,TMAX,195
SPE00120512,2005-02-05,TMIN,23
SPE00120512,2010-10-08,TMAX,280
SPE00120512,2005-12-01,TMAX,166
SPE00120512,2012-09-03,TMAX,337
SPE00120512,2014-10-10,TMIN,197
SPE00120512,2008-10-27,TMAX,273
SPE00120512,2014-01-15,TMIN,94
SPE00120512,2008-02-19,TMAX,194
SPE00120512,2013-08-30,TMIN,191
SPE00120512,2012-09-03,TMIN,186
SPE00120512,2013-07-21,TMAX,334
SPE00120512,2010-03-04,TMIN,124
SPE00120512,2015-07-22,TMAX,413
SPE00120512,2010-01-10,TMAX,40
SPE00120512,2007-06-24,TMIN,208
SPE00120512,2013-08-30,TMAX,340
SPE00120512,2013-07-21,TMIN,194
SPE00120512,2005-06-03,TMIN,195
SPE00120512,2010-08-15,TMIN,241
SPE00120512,2007-06-06,TMIN,192
SPE00120512,2015-06-01,TMIN,186
SPE00120512,2012-04-21,TMIN,94
SPE00120512,2007-07-11,TMAX,378
SPE00120512,2013-02-21,TMAX,168
SPE00120512,2012-04-21,TMAX,253
SPE00120512,2015-01-05,TMAX,157
SPE00120512,2011-05-30,TMIN,188
SPE00120512,2005-05-27,TMAX,315
SPE00120512,2008-05-19,TMAX,251
SPE00120512,2012-06-16,TMAX,368
SPE00120512,2008-07-14,TMAX,333
SPE00120512,2011-07-24,TMIN,195
SPE00120512,2011-03-03,TMAX,163
SPE00120512,2013-02-08,TMAX,166
SPE00120512,2008-07-14,TMIN,195
SPE00120512,2011-05-30,TMAX,266
SPE00120512,2015-11-26,TMAX,202
SPE00120512,2005-11-14,TMAX,124
SPE00120512,2009-06-20,TMAX,401
SPE00120512,2010-11-19,TMAX,187
SPE00120512,2015-06-13,TMAX,260
SPE00120512,2009-12-30,TMAX,196
SPE00120512,2007-12-01,TMAX,176
SPE00120512,2013-02-19,TMAX,138
SPE00120512,2006-12-23,TMAX,111
SPE00120512,2008-03-18,TMAX,212
SPE00120512,2006-05-10,TMAX,306
SPE00120512,2009-06-20,TMIN,241
SPE00120512,2011-06-29,TMIN,240
SPE00120512,2012-09-12,TMIN,185
SPE00120512,2013-06-01,TMAX,303
SPE00120512,2006-06-20,TMAX,359
SPE00120512,2014-10-15,TMAX,216
SPE00120512,2005-06-09,TMAX,365
SPE00120512,2013-06-01,TMIN,143
